STT,Chuyên cần,Điểm kiểm tra lần 1,Làm bài tập,Kết quả
1,Đi học đủ,>=5,Có,Đạt
2,Đi học đủ,>=5,Có,Đạt
3,Đi học đủ,>=5,Không,Đạt
4,Đi học đủ,<5,Có,Đạt
5,Đi học đủ,<5,Có,Đạt
6,Đi học đủ,<5,Không,Không đạt
7,Thỉnh thoảng vắng,>=5,Có,Đạt
8,Thỉnh thoảng vắng,>=5,Không,Đạt
9,Thỉnh thoảng vắng,<5,Có,Không đạt
10,Thỉnh thoảng vắng,<5,Không,Không đạt
11,Thường xuyên vắng,>=5,Có,Không đạt
12,Thường xuyên vắng,>=5,Không,Không đạt
13,Thường xuyên vắng,<5,Có,Không đạt
14,Thường xuyên vắng,<5,Không,Không đạt
15,Đi học đủ,>=5,Có,Đạt
16,Đi học đủ,<5,Không,Không đạt
